date,volume_kg,sets,reps,exercises,workout_count,duration_min
2025-02-10,12580.0,29,296,10,1,0.0
2025-02-13,13150.0,31,304,11,1,0.0
2025-02-24,14420.0,26,268,9,1,0.0
2025-03-03,13380.0,26,262,9,1,0.0
2025-03-06,12475.0,29,283,9,1,0.0
2025-03-17,10790.0,20,215,7,1,0.0
2025-03-24,8960.0,22,221,8,1,0.0
2025-04-29,18000.0,38,360,7,1,0.0
2025-05-06,45000.0,68,668,6,1,0.0
2025-07-08,2750.0,12,110,5,1,0.0
2025-07-11,6455.0,18,153,7,1,0.0
2025-08-20,14900.0,26,232,6,1,0.0
2025-08-31,8500.0,28,249,6,1,0.0
2025-09-03,8040.0,19,186,7,1,0.0
