exercise,best_1rm_kg,best_weight_kg,best_reps
Hip Thrust (Barbell),208.0,156.0,10
Squat (Barbell),120.0,90.0,10
Squat (Smith Machine),120.0,90.0,10
Squat (Machine),95.66666666666667,70.0,11
Triceps Pushdown (Cable - Straight Bar),93.33333333333333,70.0,10
Lat Pulldown (Cable),86.66666666666666,65.0,10
Seated Row (Cable),86.66666666666666,65.0,10
Cable Curl,86.66666666666666,65.0,10
Bicep Curl (Cable),73.33333333333333,55.0,10
Face Pull (Cable),60.0,45.0,10
Pec Deck (Machine),53.33333333333333,40.0,10
Crunch (Machine),46.666666666666664,35.0,10
Lying Leg Curl (Machine),46.666666666666664,35.0,10
Incline Bench Press (Dumbbell),20.0,15.0,10
Seated Overhead Press (Dumbbell),20.0,15.0,10
Basic Scrunches,0.0,0.0,16
Oblique Scrunches,0.0,0.0,10
Oblique Crunch,0.0,0.0,5
Running (Treadmill),0.0,0.0,0
Stair Master ,0.0,0.0,10
